Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Vehicle_movement,Casualty_class,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity
967,6,1,1,0,1,1,7,5,2,5,7,0,3,3,4,8,2,9,3,3,5,10,2
967,6,1,1,2,0,3,8,5,2,5,7,0,3,3,4,8,2,7,1,2,5,9,2
352,5,2,1,1,0,2,4,5,4,5,7,0,3,3,2,8,1,7,0,2,5,0,1
692,0,0,1,2,0,0,6,5,4,5,7,0,3,0,4,8,2,7,0,2,5,13,1
692,0,0,1,2,0,2,8,5,6,3,7,0,3,0,4,8,2,3,3,3,5,10,1
692,0,0,1,2,0,1,4,12,6,3,7,0,3,0,4,8,2,2,0,1,5,9,1
692,0,0,1,4,0,0,4,5,2,5,7,0,3,0,4,8,2,2,0,1,5,10,1
801,2,0,1,0,0,3,0,5,4,5,7,0,3,0,8,8,1,2,3,3,5,0,2
1006,5,2,1,0,0,1,0,5,2,0,0,3,0,3,2,8,6,2,2,2,5,0,2
1006,5,4,0,1,0,2,7,5,2,7,0,0,0,3,2,8,6,2,3,3,5,11,2
1006,5,4,0,1,0,0,7,6,4,7,0,0,0,3,2,8,6,2,0,2,5,0,2
1006,5,4,0,1,0,2,7,5,4,5,0,0,0,3,2,8,6,2,2,1,0,11,2
928,4,3,1,4,0,1,15,6,4,5,7,0,3,3,4,8,2,2,2,1,6,7,2
928,4,0,1,4,0,2,4,1,4,5,7,0,3,3,4,8,2,2,3,3,5,10,2
612,5,0,2,2,0,1,0,6,4,5,2,0,3,2,4,8,2,2,0,2,5,0,2
612,5,0,1,4,0,0,7,7,2,6,2,0,3,2,4,8,2,2,2,2,5,12,2
415,5,0,1,4,0,0,0,9,2,5,7,0,3,0,2,8,2,2,3,3,5,10,2
415,5,1,2,4,0,2,0,9,6,5,7,0,3,0,2,2,2,2,0,2,5,11,2
415,5,1,1,3,0,6,0,9,4,5,7,0,3,0,2,2,2,2,3,3,5,11,2
323,2,4,0,4,0,2,0,7,4,5,7,0,3,3,2,8,2,2,2,2,1,12,2
323,2,0,1,4,0,0,5,6,2,5,7,0,3,3,2,8,2,2,3,3,5,3,2
1020,2,0,1,4,0,1,7,7,2,5,0,0,3,3,4,8,3,2,0,2,5,1,2
1020,2,2,1,4,0,3,8,7,6,5,0,0,3,3,4,8,3,2,3,3,5,0,2
1020,2,1,1,4,2,2,8,6,2,5,0,0,3,3,4,2,3,2,0,2,5,9,2
103,1,0,0,2,0,0,0,2,6,5,1,0,0,3,2,8,2,9,0,2,5,3,1
103,1,2,0,4,0,3,3,7,2,5,1,0,0,3,2,2,2,7,3,3,5,4,1
204,0,4,0,4,0,0,0,7,1,5,1,0,0,3,2,2,2,3,0,1,5,4,2
204,0,0,1,4,0,1,10,6,0,5,1,0,0,3,2,1,2,2,3,3,5,11,2
344,4,0,1,4,0,3,5,6,1,6,7,4,3,3,4,8,2,3,0,2,5,0,2
344,4,1,2,1,0,2,7,6,0,5,7,0,3,3,4,8,2,2,0,2,5,3,2
77,4,1,1,1,0,0,5,6,4,5,7,0,3,3,2,8,2,2,1,2,5,7,2
300,4,0,1,1,0,2,8,7,0,5,1,0,0,3,2,8,2,11,0,1,5,1,2
501,4,0,1,4,0,0,8,7,2,5,7,0,3,0,4,8,1,2,3,3,5,3,2
803,1,0,2,4,0,1,0,6,2,5,1,0,3,0,5,2,2,3,0,2,5,1,2
450,3,1,1,4,0,0,7,6,2,5,0,0,0,0,2,8,2,2,3,3,5,3,2
450,3,0,1,4,0,4,7,6,2,5,0,0,0,0,2,8,2,3,0,1,5,9,2
450,3,0,1,4,0,2,0,9,2,5,0,4,0,0,2,2,2,2,2,2,5,0,2
529,0,1,1,4,2,2,8,12,2,5,0,0,3,0,4,2,1,9,2,1,1,17,2
48,4,2,1,4,0,2,9,7,4,5,7,0,0,3,2,8,2,2,3,3,5,3,1
1021,0,3,1,2,0,1,0,7,0,5,0,0,0,3,2,8,2,11,2,2,5,10,2
1021,0,0,1,0,0,2,7,7,0,5,0,0,0,3,2,8,2,2,0,2,5,0,2
367,1,0,1,4,0,3,9,7,2,5,7,0,3,0,2,8,2,2,0,2,5,11,2
367,1,0,2,4,0,4,14,6,0,6,7,0,3,0,2,8,2,2,2,2,5,10,2
555,4,0,1,1,0,2,5,6,2,5,7,0,0,0,2,8,1,2,0,2,5,10,2
548,0,1,2,4,0,0,0,6,1,5,7,0,3,0,4,2,2,3,0,2,5,0,2
548,0,0,1,4,0,1,5,6,2,5,7,0,3,0,4,8,2,2,3,3,5,10,2
440,2,2,1,4,0,3,9,7,4,5,0,0,3,0,4,8,2,2,1,2,5,10,2
440,2,2,1,2,0,4,0,7,2,5,0,0,3,0,4,8,2,2,0,2,5,0,2
501,5,0,1,4,0,1,14,9,2,5,0,0,0,0,2,1,2,2,2,2,5,1,2
501,5,0,1,2,0,3,0,7,2,5,0,2,0,0,2,1,2,9,3,3,5,9,2
338,4,1,1,4,0,3,5,7,2,5,7,0,3,3,2,8,1,2,1,2,5,1,2
298,3,3,1,2,0,2,7,7,2,5,1,0,0,3,2,8,1,2,3,3,5,10,2
430,0,1,1,4,0,3,8,7,4,5,7,0,3,2,2,8,2,3,0,2,5,16,1
430,0,1,1,4,0,1,5,4,4,5,7,0,3,2,2,8,2,2,3,3,5,13,1
427,3,2,1,1,0,1,0,2,0,5,0,0,3,0,2,8,2,2,0,2,5,1,1
427,3,3,1,1,1,2,10,7,4,5,0,0,3,0,2,8,2,4,0,2,5,11,1
352,1,0,1,4,0,2,0,7,4,5,7,0,0,3,2,8,3,2,3,3,5,12,2
352,1,1,1,2,2,2,5,6,4,5,7,0,0,3,2,8,3,2,3,3,5,0,2
352,1,0,1,4,0,3,9,6,4,5,7,0,0,3,2,8,3,9,0,2,5,0,2
984,4,0,1,4,0,4,6,9,2,5,0,0,3,3,3,2,2,3,3,3,5,16,2
984,4,0,1,4,1,4,9,4,4,5,0,0,3,3,3,6,2,2,0,2,5,10,2
979,2,0,1,4,0,3,5,6,4,5,7,0,0,3,2,8,1,2,3,3,5,12,2
75,0,1,1,2,2,2,0,7,4,5,1,0,0,3,2,8,1,2,0,2,5,1,2
365,6,0,1,1,2,2,5,7,2,5,5,0,3,0,2,8,1,7,3,3,5,0,2
426,4,0,1,4,0,1,14,9,4,5,1,0,3,0,2,8,4,2,0,2,5,10,2
426,4,1,1,4,0,1,8,6,2,5,1,0,3,0,2,8,4,2,3,3,5,3,2
426,4,1,1,0,0,2,0,9,6,5,1,2,3,0,2,2,4,2,1,2,5,11,2
426,4,1,1,4,2,1,0,6,2,5,1,0,3,0,2,2,4,6,3,3,5,3,2
331,1,0,1,4,0,1,7,9,2,5,7,0,0,3,2,2,4,2,0,2,5,10,2
331,1,0,1,4,0,2,0,12,6,5,7,0,0,3,2,8,4,11,3,3,5,10,2
331,1,1,0,4,0,1,10,3,6,3,7,0,0,3,2,8,4,2,3,3,5,10,2
391,4,0,1,1,0,0,10,7,4,5,7,0,3,0,0,8,3,2,0,2,5,0,2
391,4,1,1,4,2,0,9,7,6,5,7,0,3,0,0,8,3,2,0,2,5,9,2
450,3,0,1,4,0,1,9,4,4,5,3,0,3,0,4,8,2,5,3,3,5,1,2
450,3,1,1,4,0,0,5,2,2,5,3,0,3,0,4,1,2,2,0,1,5,12,2
127,2,4,0,1,0,3,0,6,2,5,7,2,2,3,6,8,3,7,3,3,5,9,2
127,2,2,1,4,0,1,8,7,2,5,7,0,2,3,6,2,3,2,0,2,5,3,2
