Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Vehicle_movement,Casualty_class,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity
930,6,4,1,4,2,3,7,2,2,3,7,0,0,3,2,8,1,9,3,3,5,10,1
71,6,4,0,4,0,1,0,7,4,5,1,0,0,3,2,2,2,2,3,3,5,1,2
445,3,1,1,4,0,1,5,7,2,5,1,0,0,3,2,8,2,1,3,3,5,13,2
826,2,1,1,4,0,0,7,9,2,5,0,0,3,0,4,8,1,2,3,3,5,2,2
921,1,0,1,4,0,1,6,6,6,7,1,0,0,3,2,8,2,2,2,2,5,13,2
492,0,3,1,4,0,3,5,6,2,5,7,0,3,0,2,2,2,2,0,2,5,3,2
761,4,1,2,4,0,2,15,9,4,6,1,0,3,0,3,8,1,12,3,3,5,12,2
247,2,0,1,4,0,0,5,6,2,5,2,0,0,3,2,8,1,4,3,3,5,10,1
234,5,0,1,4,0,1,15,7,4,5,3,0,0,3,2,8,2,2,0,2,5,3,2
515,3,3,1,4,0,2,5,7,2,5,1,0,3,3,2,2,1,7,3,3,5,12,1
354,5,1,1,1,0,1,10,7,6,3,1,0,0,3,2,2,3,2,3,3,5,1,2
710,6,0,1,4,2,4,15,6,2,5,0,0,0,0,2,1,2,2,0,2,5,15,2
501,5,1,1,1,2,1,5,7,6,5,7,0,0,3,2,8,2,2,0,2,5,2,1
89,1,4,0,2,0,1,7,6,2,5,1,0,0,3,2,2,1,2,2,1,6,3,2
634,4,1,1,4,0,4,9,7,6,5,7,4,3,3,2,1,2,4,0,2,5,16,2
730,4,2,1,4,0,2,0,9,6,3,7,0,0,0,2,2,1,0,3,3,5,12,2
559,0,0,1,1,0,2,0,7,4,5,0,0,0,0,2,2,2,2,3,3,5,11,2
348,3,3,1,4,0,0,11,9,0,5,7,0,0,3,7,2,2,2,0,2,5,5,2
66,6,3,1,4,0,3,7,9,2,5,0,0,3,3,8,8,3,2,0,2,5,10,2
366,0,1,1,4,0,1,8,9,2,5,5,0,0,3,2,1,1,2,2,2,6,3,2
492,2,3,1,1,0,2,12,6,4,5,0,0,0,3,2,8,2,2,2,2,5,10,2
916,1,0,1,1,1,3,0,9,6,5,0,0,0,3,2,8,2,2,3,3,5,2,2
894,5,4,0,4,0,2,9,7,2,6,0,4,0,3,2,8,2,2,3,3,5,2,2
1013,6,1,1,2,0,3,8,6,0,5,3,0,0,3,7,8,1,2,3,3,5,1,2
686,0,1,1,4,2,1,0,7,6,5,7,0,0,0,2,8,2,2,0,2,5,10,2
126,3,1,1,1,1,2,10,7,4,5,2,0,3,3,2,8,2,2,3,3,5,11,2
294,5,1,1,4,0,2,7,7,4,5,7,4,0,3,2,2,2,2,3,3,5,1,1
964,6,1,1,4,0,2,9,0,4,5,1,0,0,3,2,2,2,1,0,2,5,11,1
41,4,1,1,4,0,4,5,2,4,5,7,0,0,3,2,8,2,2,0,2,5,10,1
41,6,1,1,4,0,0,5,9,2,3,1,0,3,3,4,2,3,2,0,2,5,11,2
269,0,4,1,4,0,3,4,3,4,7,7,0,3,3,4,1,1,2,0,2,5,10,2
732,0,1,1,4,0,1,4,7,0,5,0,0,0,0,2,1,2,2,0,2,5,15,2
